sample_id,dataset_name,source_id,json_path,video_base,video_path,view,start_sec,end_sec,label,korean_text,category,realm,thema,detailThema,video_exists
nikl_VXPAKOKS240779230_000,nikl,VXPAKOKS240779230,data\raw\labels\VXPAKOKS240779230.json,VXPAKOKS240779230,data\raw\videos\VXPAKOKS240779230R.mp4,right,2.123,2.296,지시1#,다들 전공이 어떻게 돼?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779230_003,nikl,VXPAKOKS240779230,data\raw\labels\VXPAKOKS240779230.json,VXPAKOKS240779230,data\raw\videos\VXPAKOKS240779230R.mp4,right,3.185,3.447,무엇1,다들 전공이 어떻게 돼?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779240_000,nikl,VXPAKOKS240779240,data\raw\labels\VXPAKOKS240779240.json,VXPAKOKS240779240,data\raw\videos\VXPAKOKS240779240R.mp4,right,1.609,1.756,지시1,나는 경영학을 전공을 하고 있어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779250_000,nikl,VXPAKOKS240779250,data\raw\labels\VXPAKOKS240779250.json,VXPAKOKS240779250,data\raw\videos\VXPAKOKS240779250R.mp4,right,1.983,2.081,지시1,나도 너랑 같은 경영학을 전공하고 있어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779250_005,nikl,VXPAKOKS240779250,data\raw\labels\VXPAKOKS240779250.json,VXPAKOKS240779250,data\raw\videos\VXPAKOKS240779250R.mp4,right,3.65,3.961,너나같다1,나도 너랑 같은 경영학을 전공하고 있어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779260_000,nikl,VXPAKOKS240779260,data\raw\labels\VXPAKOKS240779260.json,VXPAKOKS240779260,data\raw\videos\VXPAKOKS240779260R.mp4,right,1.612,1.727,지시2,나는 법학을 전공했고 복수 전공으론 사회복지학을 전공했어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779270_009,nikl,VXPAKOKS240779270,data\raw\labels\VXPAKOKS240779270.json,VXPAKOKS240779270,data\raw\videos\VXPAKOKS240779270R.mp4,right,6.324,6.489,무엇1,경영학과도 힘들다고 들었는데 경영학 공부는 어떻게 해?,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779280_000,nikl,VXPAKOKS240779280,data\raw\labels\VXPAKOKS240779280.json,VXPAKOKS240779280,data\raw\videos\VXPAKOKS240779280R.mp4,right,1.395,1.482,지시1,난 요즘 상법을 공부하고 있는데 한자가 너무 많고 그 단어가 너무 어렵게 구성이 되어 있었어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779280_007,nikl,VXPAKOKS240779280,data\raw\labels\VXPAKOKS240779280.json,VXPAKOKS240779280,data\raw\videos\VXPAKOKS240779280R.mp4,right,6.06,6.262,지시1#,난 요즘 상법을 공부하고 있는데 한자가 너무 많고 그 단어가 너무 어렵게 구성이 되어 있었어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
nikl_VXPAKOKS240779280_008,nikl,VXPAKOKS240779280,data\raw\labels\VXPAKOKS240779280.json,VXPAKOKS240779280,data\raw\videos\VXPAKOKS240779280R.mp4,right,6.524,6.986,많다1,난 요즘 상법을 공부하고 있는데 한자가 너무 많고 그 단어가 너무 어렵게 구성이 되어 있었어.,수어 > 무작위 구성,일상생활,일상생활 말뭉치,일상생활 말뭉치,True
